('online computer library center', 'google', {'weight': 0.6})
('online computer library center', 'dallas public library', {'weight': 0.6})
('online computer library center', 'card catalogs', {'weight': 0.6})
('online computer library center', 'library', {'weight': 0.6})
('online computer library center', 'suncat', {'weight': 0.6})
('online computer library center', 'online database', {'weight': 0.6})
('online computer library center', 'computer terminal', {'weight': 0.6})
('online computer library center', 'digital commons', {'weight': 0.6})
('online computer library center', 'library computer system', {'weight': 0.6})
('online computer library center', 'psycinfo', {'weight': 0.6})
('online computer library center', 'eric', {'weight': 0.6})
('online computer library center', 'libramatic', {'weight': 0.6})
('online computer library center', 'list of next-generation library catalogs', {'weight': 0.6})
('online computer library center', 'consortium', {'weight': 0.6})
('online computer library center', 'interlibrary loan', {'weight': 0.6})
('online computer library center', 'worldcat', {'weight': 0.6})
('online computer library center', 'nla trove', {'weight': 0.6})
('online computer library center', 'metadata', {'weight': 0.6})
('online computer library center', 'dynix (software)', {'weight': 0.6})
('online computer library center', 'telnet', {'weight': 0.6})
('online computer library center', 'digital object identifier', {'weight': 0.6})
('online computer library center', 'amazon.com', {'weight': 0.6})
('online computer library center', 'dspace', {'weight': 0.6})
('online computer library center', 'medline', {'weight': 0.6})
('online computer library center', 'bibliographic database', {'weight': 0.6})
('online computer library center', 'born-digital', {'weight': 0.6})
('online computer library center', 'library catalog', {'weight': 0.6})
('online computer library center', 'copac', {'weight': 0.6})
('online computer library center', 'faceted search', {'weight': 0.6})
('online computer library center', 'integrated library system', {'weight': 0.6})
('online computer library center', 'ohio state university', {'weight': 0.6})
('library automation', 'online computer library center', {'weight': 0.6})
('library automation', 'google', {'weight': 0.6})
('library automation', 'dallas public library', {'weight': 0.6})
('library automation', 'card catalogs', {'weight': 0.6})
('library automation', 'library', {'weight': 0.6})
('library automation', 'suncat', {'weight': 0.6})
('library automation', 'online database', {'weight': 0.6})
('library automation', 'computer terminal', {'weight': 0.6})
('library automation', 'digital commons', {'weight': 0.6})
('library automation', 'library computer system', {'weight': 0.6})
('library automation', 'psycinfo', {'weight': 0.6})
('library automation', 'eric', {'weight': 0.6})
('library automation', 'libramatic', {'weight': 0.6})
('library automation', 'list of next-generation library catalogs', {'weight': 0.7})
('library automation', 'consortium', {'weight': 0.6})
('library automation', 'interlibrary loan', {'weight': 0.6})
('library automation', 'worldcat', {'weight': 0.6})
('library automation', 'nla trove', {'weight': 0.6})
('library automation', 'metadata', {'weight': 0.6})
('library automation', 'dynix (software)', {'weight': 0.6})
('library automation', 'telnet', {'weight': 0.6})
('library automation', 'library automation', {'weight': 1})
('library automation', 'library and information science portal', {'weight': 0.7})
('library automation', 'digital object identifier', {'weight': 0.6})
('library automation', 'amazon.com', {'weight': 0.6})
('library automation', 'dspace', {'weight': 0.6})
('library automation', 'medline', {'weight': 0.6})
('library automation', 'bibliographic database', {'weight': 0.6})
('library automation', 'born-digital', {'weight': 0.6})
('library automation', 'library catalog', {'weight': 0.6})
('library automation', 'copac', {'weight': 0.6})
('library automation', 'faceted search', {'weight': 0.6})
('library automation', 'integrated library system', {'weight': 0.6})
('library automation', 'ohio state university', {'weight': 0.6})
('list of next-generation library catalogs', 'online computer library center', {'weight': 0.6})
('list of next-generation library catalogs', 'google', {'weight': 0.6})
('list of next-generation library catalogs', 'dallas public library', {'weight': 0.6})
('list of next-generation library catalogs', 'card catalogs', {'weight': 0.6})
('list of next-generation library catalogs', 'library', {'weight': 0.6})
('list of next-generation library catalogs', 'suncat', {'weight': 0.6})
('list of next-generation library catalogs', 'online database', {'weight': 0.6})
('list of next-generation library catalogs', 'computer terminal', {'weight': 0.6})
('list of next-generation library catalogs', 'digital commons', {'weight': 0.6})
('list of next-generation library catalogs', 'library computer system', {'weight': 0.7})
('list of next-generation library catalogs', 'psycinfo', {'weight': 0.6})
('list of next-generation library catalogs', 'library and information science software', {'weight': 0.5})
('list of next-generation library catalogs', 'libramatic', {'weight': 0.6})
('list of next-generation library catalogs', 'lists of software', {'weight': 0.5})
('list of next-generation library catalogs', 'list of next-generation library catalogs', {'weight': 1})
('list of next-generation library catalogs', 'consortium', {'weight': 0.6})
('list of next-generation library catalogs', 'interlibrary loan', {'weight': 0.6})
('list of next-generation library catalogs', 'eric', {'weight': 0.6})
('list of next-generation library catalogs', 'worldcat', {'weight': 0.6})
('list of next-generation library catalogs', 'nla trove', {'weight': 0.6})
('list of next-generation library catalogs', 'metadata', {'weight': 0.6})
('list of next-generation library catalogs', 'dynix (software)', {'weight': 0.6})
('list of next-generation library catalogs', 'telnet', {'weight': 0.6})
('list of next-generation library catalogs', 'digital object identifier', {'weight': 0.6})
('list of next-generation library catalogs', 'amazon.com', {'weight': 0.6})
('list of next-generation library catalogs', 'dspace', {'weight': 0.6})
('list of next-generation library catalogs', 'medline', {'weight': 0.6})
('list of next-generation library catalogs', 'bibliographic database', {'weight': 0.6})
('list of next-generation library catalogs', 'born-digital', {'weight': 0.6})
('list of next-generation library catalogs', 'library catalog', {'weight': 0.6})
('list of next-generation library catalogs', 'copac', {'weight': 0.6})
('list of next-generation library catalogs', 'faceted search', {'weight': 0.6})
('list of next-generation library catalogs', 'integrated library system', {'weight': 0.7})
('list of next-generation library catalogs', 'ohio state university', {'weight': 0.6})
('dynix (software)', 'online computer library center', {'weight': 0.6})
('dynix (software)', 'google', {'weight': 0.6})
('dynix (software)', 'wyse', {'weight': 0.7})
('dynix (software)', 'dallas public library', {'weight': 0.6})
('dynix (software)', 'card catalogs', {'weight': 0.6})
('dynix (software)', 'library', {'weight': 0.6})
('dynix (software)', 'suncat', {'weight': 0.6})
('dynix (software)', 'software portal', {'weight': 0.7})
('dynix (software)', 'online database', {'weight': 0.6})
('dynix (software)', 'computer terminal', {'weight': 0.7})
('dynix (software)', 'digital commons', {'weight': 0.6})
('dynix (software)', 'library computer system', {'weight': 0.7})
('dynix (software)', 'psycinfo', {'weight': 0.6})
('dynix (software)', 'library and information science software', {'weight': 0.5})
('dynix (software)', 'libramatic', {'weight': 0.6})
('dynix (software)', 'list of next-generation library catalogs', {'weight': 0.6})
('dynix (software)', 'consortium', {'weight': 0.6})
('dynix (software)', 'interlibrary loan', {'weight': 0.6})
('dynix (software)', 'eric', {'weight': 0.6})
('dynix (software)', 'worldcat', {'weight': 0.6})
('dynix (software)', 'nla trove', {'weight': 0.6})
('dynix (software)', 'metadata', {'weight': 0.6})
('dynix (software)', 'dynix (software)', {'weight': 1})
('dynix (software)', 'monochrome monitor', {'weight': 0.7})
('dynix (software)', 'telnet', {'weight': 0.6})
('dynix (software)', 'library automation', {'weight': 0.5})
('dynix (software)', 'digital object identifier', {'weight': 0.6})
('dynix (software)', 'amazon.com', {'weight': 0.6})
('dynix (software)', 'notis', {'weight': 0.7})
('dynix (software)', 'dspace', {'weight': 0.6})
('dynix (software)', 'medline', {'weight': 0.6})
('dynix (software)', 'bibliographic database', {'weight': 0.6})
('dynix (software)', 'opac', {'weight': 0.7})
('dynix (software)', 'born-digital', {'weight': 0.6})
('dynix (software)', 'library catalog', {'weight': 0.6})
('dynix (software)', 'copac', {'weight': 0.6})
('dynix (software)', 'faceted search', {'weight': 0.6})
('dynix (software)', 'integrated library system', {'weight': 0.7})
('dynix (software)', 'ohio state university', {'weight': 0.6})
('amazon.com', 'internet companies of the united states', {'weight': 0.5})
('amazon.com', 'google', {'weight': 0.6})
('amazon.com', 'dallas public library', {'weight': 0.6})
('amazon.com', 'worldcat', {'weight': 0.6})
('amazon.com', 'american brands', {'weight': 0.5})
('amazon.com', 'online computer library center', {'weight': 0.6})
('amazon.com', 'cloud computing providers', {'weight': 0.5})
('amazon.com', 'suncat', {'weight': 0.6})
('amazon.com', 'online database', {'weight': 0.6})
('amazon.com', 'arts and crafts retailers', {'weight': 0.5})
('amazon.com', 'interlibrary loan', {'weight': 0.6})
('amazon.com', 'library computer system', {'weight': 0.6})
('amazon.com', 'psycinfo', {'weight': 0.6})
('amazon.com', 'eric', {'weight': 0.6})
('amazon.com', 'library', {'weight': 0.6})
('amazon.com', 'companies established in 1994', {'weight': 0.5})
('amazon.com', 'internet properties established in 1994', {'weight': 0.5})
('amazon.com', 'libramatic', {'weight': 0.6})
('amazon.com', 'companies based in washington (state)', {'weight': 0.5})
('amazon.com', 'bookstores of the united states', {'weight': 0.5})
('amazon.com', 'list of next-generation library catalogs', {'weight': 0.6})
('amazon.com', 'amazon marketplace', {'weight': 0.7})
('amazon.com', 'online companies', {'weight': 0.5})
('amazon.com', 'consortium', {'weight': 0.6})
('amazon.com', 'e-book suppliers', {'weight': 0.5})
('amazon.com', 'companies listed on nasdaq', {'weight': 0.5})
('amazon.com', 'multinational companies headquartered in the united states', {'weight': 0.5})
('amazon.com', 'list of book distributors', {'weight': 0.7})
('amazon.com', 'digital object identifier', {'weight': 0.6})
('amazon.com', 'review websites', {'weight': 0.5})
('amazon.com', '1994 establishments in washington (state)', {'weight': 0.5})
('amazon.com', 'nla trove', {'weight': 0.6})
('amazon.com', 'metadata', {'weight': 0.6})
('amazon.com', 'software companies based in washington (state)', {'weight': 0.5})
('amazon.com', 'online music stores', {'weight': 0.5})
('amazon.com', 'amazon standard identification number', {'weight': 0.7})
('amazon.com', 'dynix (software)', {'weight': 0.6})
('amazon.com', 'self-publishing companies', {'weight': 0.5})
('amazon.com', 'mobile phone manufacturers', {'weight': 0.5})
('amazon.com', 'integrated library system', {'weight': 0.6})
('amazon.com', 'medline', {'weight': 0.6})
('amazon.com', 'telnet', {'weight': 0.6})
('amazon.com', 'webby award winners', {'weight': 0.5})
('amazon.com', 'companies in the nasdaq-100 index', {'weight': 0.5})
('amazon.com', 'card catalogs', {'weight': 0.6})
('amazon.com', 'companies initially financed with venture capital', {'weight': 0.5})
('amazon.com', 'commerce websites', {'weight': 0.5})
('amazon.com', 'amazon breakthrough novel award', {'weight': 0.7})
('amazon.com', 'dspace', {'weight': 0.6})
('amazon.com', 'amazon.com', {'weight': 1})
('amazon.com', 'bibliographic database', {'weight': 0.6})
('amazon.com', 'american websites', {'weight': 0.5})
('amazon.com', 'born-digital', {'weight': 0.6})
('amazon.com', 'library catalog', {'weight': 0.6})
('amazon.com', 'companies based in seattle, washington', {'weight': 0.5})
('amazon.com', 'book selling websites', {'weight': 0.5})
('amazon.com', 'copac', {'weight': 0.6})
('amazon.com', 'statistically improbable phrases', {'weight': 0.7})
('amazon.com', 'faceted search', {'weight': 0.6})
('amazon.com', 'computer terminal', {'weight': 0.6})
('amazon.com', 'ohio state university', {'weight': 0.6})
('amazon.com', 'online retail companies of the united states', {'weight': 0.5})
('amazon.com', 'digital commons', {'weight': 0.6})
('library cataloging and classification', 'online computer library center', {'weight': 0.6})
('library cataloging and classification', 'google', {'weight': 0.6})
('library cataloging and classification', 'dallas public library', {'weight': 0.6})
('library cataloging and classification', 'card catalogs', {'weight': 0.6})
('library cataloging and classification', 'library', {'weight': 0.6})
('library cataloging and classification', 'suncat', {'weight': 0.6})
('library cataloging and classification', 'online database', {'weight': 0.6})
('library cataloging and classification', 'computer terminal', {'weight': 0.6})
('library cataloging and classification', 'digital commons', {'weight': 0.6})
('library cataloging and classification', 'library computer system', {'weight': 0.6})
('library cataloging and classification', 'psycinfo', {'weight': 0.6})
('library cataloging and classification', 'eric', {'weight': 0.6})
('library cataloging and classification', 'libramatic', {'weight': 0.6})
('library cataloging and classification', 'list of next-generation library catalogs', {'weight': 0.6})
('library cataloging and classification', 'consortium', {'weight': 0.6})
('library cataloging and classification', 'interlibrary loan', {'weight': 0.6})
('library cataloging and classification', 'worldcat', {'weight': 0.6})
('library cataloging and classification', 'nla trove', {'weight': 0.6})
('library cataloging and classification', 'metadata', {'weight': 0.6})
('library cataloging and classification', 'dynix (software)', {'weight': 0.6})
('library cataloging and classification', 'telnet', {'weight': 0.6})
('library cataloging and classification', 'digital object identifier', {'weight': 0.6})
